date_format	date_origine	event	type_event	source	important
19/02/1853	19 février 1853	Naissance de Jacques Doucet à Paris	bio	agorha : https://agorha.inha.fr/ark:/54721/96364584-69eb-4240-90dd-459f6138e473	oui
1875	1875	Premiers achats de Jacques Doucet d'œuvres du XVIIIe siècle et d'œuvres impressionnistes. 	autre	Georgel Chantal (dir.), Jacques Doucet collectionneur et mécène, Paris, Les Arts décoratifs / INHA, 2016, p. 244	non
01/1888	Janvier 1888	Jacques Doucet loue le 27 rue de la Ville-l'Evêque pour y habiter. 	bio	Georgel Chantal (dir.), Jacques Doucet collectionneur et mécène, Paris, Les Arts décoratifs / INHA, 2016, p. 244	non
15/02/1893	15 février 1893	Le père de Jacques Doucet acquiert le 27 rue de la Ville-l'Evêque.	bio	Georgel Chantal (dir.), Jacques Doucet collectionneur et mécène, Paris, Les Arts décoratifs / INHA, 2016, p. 244	non
1897	1897	Doucet acquiert lors de la vente du baron Pichon des lots de catalogue du XVIIIe siècle, première démarche vers la consitution d'une bibliothèque d'art. 	baa	"Seymour de Ricci, ""- La collection de catalogues de ventes"", Bulletin de la SABAA, 1er semestre 1930, n° 3, p. 12-13"	oui
1898	1898	Décès du père de Jacques Doucet, qui hérite de l'établissement familial situé au 21 rue de la Paix. 	bio	Georgel Chantal (dir.), Jacques Doucet collectionneur et mécène, Paris, Les Arts décoratifs / INHA, 2016, p. 246	oui
1904	1904	Sa collection du XVIIIe siècle est proche de la description qu'en offrent les 3 volumes du catalogue de la vente de 1912. Jacques Doucet commande la construction et la décoration intérieure dans le goût XVIIIe siècle de l'hôtel du 19 rue Spontini (Paris). 	autre	Georgel Chantal (dir.), Jacques Doucet collectionneur et mécène, Paris, Les Arts décoratifs / INHA, 2016, p. 246	non
17/05/1906	16-17 mai 1906	"Vente ""Tableaux anciens, dessins, sculptures, objets d'art et d'ameublement du XVIIIe siècle provenant de la collection de M.J.D."" ; Paris, Hôtel Drouot, Paul Chevallier, commissaire-priseur"	autre	Georgel Chantal (dir.), Jacques Doucet collectionneur et mécène, Paris, Les Arts décoratifs / INHA, 2016, p. 242 https://agorha.inha.fr/ark:/54721/f0142291-e0bb-4b3c-b906-aee597413928	non
1906	1906	Sur les conseils de l'expert Charles Vignier, Jacques Doucet commence à constituer sa collection d'art oriental. 	autre	Georgel Chantal (dir.), Jacques Doucet collectionneur et mécène, Paris, Les Arts décoratifs / INHA, 2016, p. 246	non
1906	1906	JD achète la série d'estampes de Manet rééditées l'année précédente par Alfred Strölin. 	autre	Georgel Chantal (dir.), Jacques Doucet collectionneur et mécène, Paris, Les Arts décoratifs / INHA, 2016, p. 188 (Antoinette Lenormand-Romain)	non
1906	1906	Doucet loue un appartement pour sa bibliothèque d'art au 16 rue Spontini.	baa	Edouard Graham, Les écrivains de Jacques Doucet, Paris, Editions des Cendres / INHA, 2011, p. 21	non
1907	1907	Jacques Doucet s'installe au 19 rue Spontini. 	bio	Georgel Chantal (dir.), Jacques Doucet collectionneur et mécène, Paris, Les Arts décoratifs / INHA, 2016, p. 246 https://karbowsky.inha.fr	oui
1907	1907	JD achète à Alfred Strölin Miss Loïe Fuller, lithographie de Toulouse-Lautrec datant de 1893, avec 4 états intermédiaires. (JE décembre 2023) Achète au même en 1907 : Gauguin, Rodin (13), Degas (4), Cassatt, Pissarro. 	autre	Georgel Chantal (dir.), Jacques Doucet collectionneur et mécène, Paris, Les Arts décoratifs / INHA, 2016, p. 204 (Nathalie Muller)	non
28/11/1907	28 novembre 1907	JD commande à Bourdelle un buste de Carpeaux ; livraison en juillet 1908. 	autre	Lettre de Bourdelle, BINHA, Aut. 36, 38, 2. 	non
09/03/1908	9 mars 1908	Création de la Société d'iconographie parisienne par Albert Vuaflart, avec le soutien de JD (d'abord installée à l'UCAD, elle sera ensuite domiciliée à la BAA)	autre	Pascale Cugy (2021, 8 juin). Jacques Doucet, Albert Vuaflart et la Société d’iconographie parisienne. Bibliothèque d'art et d'archéologie Jacques Doucet. Consulté le 3 mai 2024, à l’adresse https://doi.org/10.58079/luuw	non
02/06/1908	2 juin 1908	Jacques Doucet propose à René-Jean les fonctions de bibliothécaire de la bibliothèque de Jacques Doucet. 	baa		oui
03/1909	Mars 1909	JD : voyage d'au moins un mois (le 22 mars, JD sans nouvelles de la rue spontini depuis un mois) en Egypte au printemps 1909 : est à Louxor le 12 mars et la lettre n° 4/5 indique qu'ils embarqueront à Alexandrie le 7 avril pour arriver à Marseille le 12.	autre		non
01/04/1909	1 avril 1909	Ouverture au 16 rue Spontini (Paris) de la bibliothèque d'art et d'archéologie. 	baa	Lettre de Jean Sineux à Pierre Lelièvre, 18 octobre 1943 ; AN/AJ 16 8388	oui
08/1909	Août 1909	René-Jean passe à la demande de Doucet par Rennes et Nantes pour accroître la collection photographique de la bibliothèque.	baa		non
1910	1910	Constitution et parution du premier numéro du Répertoire d'art et d'archéologie. Direction : Marcel Aubert. 	baa	Pierre Gassier, De Goya à Matisse : estampes de la collection Jacques Doucet, Martigny, Fondation Pierre Gianadda, 1992, p. 229	non
