Num;version_texte;version_corrigee;version_unifiee;id;type;lieu;ref_agorha;bio
;René-Jean;René-Jean;René-Jean;rjean;protagoniste;;https://agorha.inha.fr/ark:/54721/23974651-c198-4a46-9af8-3b072627c67f;
;Monsieur René-Jean;René-Jean;René-Jean;rjean;protagoniste;;https://agorha.inha.fr/ark:/54721/23974651-c198-4a46-9af8-3b072627c67f;
;René Jean;René-Jean;René-Jean;rjean;protagoniste;;https://agorha.inha.fr/ark:/54721/23974651-c198-4a46-9af8-3b072627c67f;
;RENE JEAN;René-Jean;René-Jean;rjean;protagoniste;;https://agorha.inha.fr/ark:/54721/23974651-c198-4a46-9af8-3b072627c67f;
;René JEAN;René-Jean;René-Jean;rjean;protagoniste;;https://agorha.inha.fr/ark:/54721/23974651-c198-4a46-9af8-3b072627c67f;
;R. J.;René-Jean;René-Jean;rjean;protagoniste;;https://agorha.inha.fr/ark:/54721/23974651-c198-4a46-9af8-3b072627c67f;
;rené jean;René-Jean;René-Jean;rjean;protagoniste;;https://agorha.inha.fr/ark:/54721/23974651-c198-4a46-9af8-3b072627c67f;
;;;;;;;;
;J. A. Doucet;Jacques Doucet;Doucet, Jacques;jdoucet;protagoniste;;https://agorha.inha.fr/ark:/54721/96364584-69eb-4240-90dd-459f6138e473;
;JD;Jacques Doucet;Doucet, Jacques;jdoucet;protagoniste;;https://agorha.inha.fr/ark:/54721/96364584-69eb-4240-90dd-459f6138e473;
;J Doucet;Jacques Doucet;Doucet, Jacques;jdoucet;protagoniste;;https://agorha.inha.fr/ark:/54721/96364584-69eb-4240-90dd-459f6138e473;
;J. Doucet;Jacques Doucet;Doucet, Jacques;jdoucet;protagoniste;;https://agorha.inha.fr/ark:/54721/96364584-69eb-4240-90dd-459f6138e473;
;Jacques Doucet;Jacques Doucet;Doucet, Jacques;jdoucet;protagoniste;;https://agorha.inha.fr/ark:/54721/96364584-69eb-4240-90dd-459f6138e473;
;M. J. A. Doucet;Jacques Doucet;Doucet, Jacques;jdoucet;protagoniste;;https://agorha.inha.fr/ark:/54721/96364584-69eb-4240-90dd-459f6138e473;
;J – D. ;Jacques Doucet;Doucet, Jacques;jdoucet;protagoniste;;https://agorha.inha.fr/ark:/54721/96364584-69eb-4240-90dd-459f6138e473;
;J D;Jacques Doucet;Doucet, Jacques;jdoucet;protagoniste;;https://agorha.inha.fr/ark:/54721/96364584-69eb-4240-90dd-459f6138e473;
;J. ;Jacques Doucet;Doucet, Jacques;jdoucet;protagoniste;;https://agorha.inha.fr/ark:/54721/96364584-69eb-4240-90dd-459f6138e473;
