id	typologie
BnF_Ms, Naf 13124_2_02	imprimés anciens ; dessins ; fac-similés manuscrits à peinture ; monographies
BnF_Ms, Naf 13124_2_03	photographies ; imprimés
BINHA, Aut. 143_02/190	photographies ; imprimés
BnF_Ms, Naf 13124_2_04	photographies
BnF_Ms, Naf 13124_2_05	photographies
BnF_Ms, Naf 13124_2_83	imprimés ; périodiques ; photographies
BnF_Ms, Naf 13124_2_06	imprimés ; photographies
BnF_Ms, Naf 13124_2_07	photographies
BnF_Ms, Naf 13124_2_60	photographies ; périodiques ; imprimés
BnF_Ms, Naf 13124_2_61	photographies ; imprimés
BnF_Ms, Naf 13124_2_63	photographies ; catalogues de musée
BnF_Ms, Naf 13124_2_62	catalogues de musée
BnF_Ms, Naf 13124_2_59	imprimés
BnF_Ms, Naf 13124_2_84	photographies ; bibliographies
BnF_Ms, Naf 13124_2_12	imprimés anciens ; guides ; photographies
BnF_Ms, Naf 13124_2_11	photographies ; imprimés ; guides
BnF_Ms, Naf 13124_2_10	photographies ; catalogues de musée
BnF_Ms, Naf 13124_2_13	illustrés coréens ; photographies
BnF_Ms, Naf 13124_2_64	imprimés ; catalogues de musée
BnF_Ms, Naf 13124_2_58	périodiques ; écrits d'artistes ; dessins modernes; catalogues d'expositions
BnF_Ms, Naf 13124_2_16	édition de périodique (Ars asiatica ?) ; photographies ; dessins modernes
BnF_Ms, Naf 13124_2_08	édition de périodique (Ars asiatica ?) ; photographies ; dessins modernes ; périodiques ; estampes modernes ; imprimés
BnF_Ms, Naf 13124_2_65	dessins modernes ; périodiques
BnF_Ms, Naf 13124_2_17	photographies ; périodiques ; dessins
BnF_Ms, Naf 13124_2_82	photographies
BnF_Ms, Naf 13124_2_68	photographies
BnF_Ms, Naf 13124_2_66	périodiques ; imprimés
BnF_Ms, Naf 13124_2_69	dessins modernes ; photographies ; estampes modernes
BnF_Ms, Naf 13124_2_09	photographies ; projet d'édition
BnF_Ms, Naf 13124_2_19	photographies
BnF_Ms, Naf 13124_2_73	projet d'édition ; imprimés
BnF_Ms, Naf 13124_2_22	projet d'édition
BnF_Ms, Naf 13124_2_21	dessins modernes ; imprimés
BnF_Ms, Naf 13124_2_71	dessins modernes
BnF_Ms, Naf 13124_2_23	dessins modernes
BnF_Ms, Naf 13124_2_27	périodiques
BnF_Ms, Naf 13124_2_29	périodiques
BnF_Ms, Naf 13124_2_30	photographies ; estampes modernes
BnF_Ms, Naf 13124_2_31	illustrés japonais
BnF_Ms, Naf 13124_2_34	périodiques
BnF_Ms, Naf 13124_2_35	estampes modernes ; dessins modernes
BINHA, Aut. 143_02/191	imprimés
BINHA, Aut. 143_02/196	estampes modernes
BnF_Ms, Naf 13124_2_43	photographies ; estampes modernes
BnF_Ms, Naf 13124_2_45	RAA ; imprimés
BnF_Ms, Naf 13124_2_47	BLJD
BINHA, Aut. 143_02/194	vente dessins modernes
BnF_Ms, Naf 13124_2_55	photographies
