id	typologie	id2
BnF_Ms, Naf 13124_2_02	imprimés anciens ; dessins ; fac-similés manuscrits à peinture ; monographies	bnf_naf13124_2_02
BnF_Ms, Naf 13124_2_03	photographies ; imprimés	bnf_naf13124_2_03
BINHA, Aut. 143_02/190	photographies ; imprimés	BINHA, Aut. 143_02_190
BnF_Ms, Naf 13124_2_04	photographies	bnf_naf13124_2_04
BnF_Ms, Naf 13124_2_05	photographies	bnf_naf13124_2_05
BnF_Ms, Naf 13124_2_83	imprimés ; périodiques ; photographies	bnf_naf13124_2_83
BnF_Ms, Naf 13124_2_06	imprimés ; photographies	bnf_naf13124_2_06
BnF_Ms, Naf 13124_2_07	photographies	bnf_naf13124_2_07
BnF_Ms, Naf 13124_2_60	photographies ; périodiques ; imprimés	bnf_naf13124_2_60
BnF_Ms, Naf 13124_2_61	photographies ; imprimés	bnf_naf13124_2_61
BnF_Ms, Naf 13124_2_63	photographies ; catalogues de musée	bnf_naf13124_2_63
BnF_Ms, Naf 13124_2_62	catalogues de musée	bnf_naf13124_2_62
BnF_Ms, Naf 13124_2_59	imprimés	bnf_naf13124_2_59
BnF_Ms, Naf 13124_2_84	photographies ; bibliographies	bnf_naf13124_2_84
BnF_Ms, Naf 13124_2_12	imprimés anciens ; guides ; photographies	bnf_naf13124_2_12
BnF_Ms, Naf 13124_2_11	photographies ; imprimés ; guides	bnf_naf13124_2_11
BnF_Ms, Naf 13124_2_10	photographies ; catalogues de musée	bnf_naf13124_2_10
BnF_Ms, Naf 13124_2_13	illustrés coréens ; photographies	bnf_naf13124_2_13
BnF_Ms, Naf 13124_2_64	imprimés ; catalogues de musée	bnf_naf13124_2_64
BnF_Ms, Naf 13124_2_58	périodiques ; écrits d'artistes ; dessins modernes; catalogues d'expositions	bnf_naf13124_2_58
BnF_Ms, Naf 13124_2_16	édition de périodique (Ars asiatica ?) ; photographies ; dessins modernes	bnf_naf13124_2_16
BnF_Ms, Naf 13124_2_08	édition de périodique (Ars asiatica ?) ; photographies ; dessins modernes ; périodiques ; estampes modernes ; imprimés	bnf_naf13124_2_08
BnF_Ms, Naf 13124_2_65	dessins modernes ; périodiques	bnf_naf13124_2_65
BnF_Ms, Naf 13124_2_17	photographies ; périodiques ; dessins	bnf_naf13124_2_17
BnF_Ms, Naf 13124_2_82	photographies	bnf_naf13124_2_82
BnF_Ms, Naf 13124_2_68	photographies	bnf_naf13124_2_68
BnF_Ms, Naf 13124_2_66	périodiques ; imprimés	bnf_naf13124_2_66
BnF_Ms, Naf 13124_2_69	dessins modernes ; photographies ; estampes modernes	bnf_naf13124_2_69
BnF_Ms, Naf 13124_2_09	photographies ; projet d'édition	bnf_naf13124_2_09
BnF_Ms, Naf 13124_2_19	photographies	bnf_naf13124_2_19
BnF_Ms, Naf 13124_2_73	projet d'édition ; imprimés	bnf_naf13124_2_73
BnF_Ms, Naf 13124_2_22	projet d'édition	bnf_naf13124_2_22
BnF_Ms, Naf 13124_2_21	dessins modernes ; imprimés	bnf_naf13124_2_21
BnF_Ms, Naf 13124_2_71	dessins modernes	bnf_naf13124_2_71
BnF_Ms, Naf 13124_2_23	dessins modernes	bnf_naf13124_2_23
BnF_Ms, Naf 13124_2_27	périodiques	bnf_naf13124_2_27
BnF_Ms, Naf 13124_2_29	périodiques	bnf_naf13124_2_29
BnF_Ms, Naf 13124_2_30	photographies ; estampes modernes	bnf_naf13124_2_30
BnF_Ms, Naf 13124_2_31	illustrés japonais	bnf_naf13124_2_31
BnF_Ms, Naf 13124_2_34	périodiques	bnf_naf13124_2_34
BnF_Ms, Naf 13124_2_35	estampes modernes ; dessins modernes	bnf_naf13124_2_35
BINHA, Aut. 143_02/191	imprimés	BINHA, Aut. 143_02_191
BINHA, Aut. 143_02/196	estampes modernes	BINHA, Aut. 143_02_196
BnF_Ms, Naf 13124_2_43	photographies ; estampes modernes	bnf_naf13124_2_43
BnF_Ms, Naf 13124_2_45	RAA ; imprimés	bnf_naf13124_2_45
BnF_Ms, Naf 13124_2_47	BLJD	bnf_naf13124_2_47
BINHA, Aut. 143_02/194	vente dessins modernes	BINHA, Aut. 143_02_194
BnF_Ms, Naf 13124_2_55	photographies	bnf_naf13124_2_55
